,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
0,8.0,-73.98151,1.0,-0.1739303369480141,-0.1890263501778804,1.4466749020838099,699
1,1.0,-73.97067,1.0,-0.35327547447183977,-0.1890263501778804,0.21146966610203657,260
2,2.0,-73.93786,1.0,0.18475993809963717,-0.1890263501778804,-0.1240181757695562,80
3,21.0,-73.92054,0.0,1.3803941882584747,-0.1890263501778804,-0.8483669252650407,150
4,4.0,-73.94146,0.0,-0.35327547447183977,-0.1890263501778804,-0.8483669252650407,91
5,60.0,-73.85112,0.0,-0.35327547447183977,-0.1890263501778804,0.8900700735241219,50
6,19.0,-73.97726,0.0,-0.233712049455956,-0.1890263501778804,-0.8483669252650407,75
7,13.0,-73.9694,1.0,-0.233712049455956,-0.1890263501778804,1.5152974151939085,275
8,21.0,-73.91437,1.0,-0.29349376196389787,-0.1592507495963352,-0.8026185831916416,84
9,12.0,-73.96145,1.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,250
10,6.0,-73.95465,1.0,-0.233712049455956,-0.1890263501778804,-0.8483669252650407,175
11,6.0,-73.9378,0.0,-0.29349376196389787,-0.12947514901479001,0.3868383107167328,44
12,72.0,-73.99318,1.0,-0.29349376196389787,-0.1890263501778804,-0.8331174779072409,73
13,37.0,-73.82615,0.0,-0.35327547447183977,-0.04014834727015449,0.10472353459743888,60
14,64.0,-73.85938,0.0,-0.29349376196389787,-0.09969954843324484,0.98156675767092,49
15,24.0,-73.95707,1.0,0.005414800575811527,-0.1890263501778804,-0.8407422015861408,100
16,71.0,-74.01165,0.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,127
17,8.0,-73.96625,0.0,-0.35327547447183977,-0.1890263501778804,-0.8483669252650407,70
18,1.0,-73.96841,1.0,-0.233712049455956,-0.1890263501778804,-0.8178680305494412,160
19,29.0,-73.97262,0.0,-0.29349376196389787,-0.12947514901479001,1.0578139944599183,100
20,42.0,-74.00596,1.0,0.7825770631790558,-0.12947514901479001,-0.4442565702833493,165
21,7.0,-73.99153,1.0,-0.11414862444007223,-0.1890263501778804,-0.5891263201824462,300
22,2.0,-73.94184,0.0,-0.35327547447183977,-0.1592507495963352,1.9270324938544996,80
23,84.0,-74.00265,1.0,-0.233712049455956,-0.1890263501778804,-0.8483669252650407,140
24,2.0,-73.94353,1.0,-0.11414862444007223,-0.1592507495963352,-0.5738768728246465,150
25,21.0,-73.91817,0.0,0.005414800575811527,-0.12947514901479001,1.6601671650930054,65
26,44.0,-73.9661,1.0,-0.11414862444007223,-0.1890263501778804,-0.6577488332925447,150
27,83.0,-73.84438,1.0,-0.1739303369480141,-0.1592507495963352,0.21909438978093643,110
28,12.0,-73.94267,0.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,90
29,8.0,-73.96669,0.0,0.005414800575811527,-0.1890263501778804,-0.8483669252650407,85
30,6.0,-73.94793,0.0,-0.233712049455956,-0.1890263501778804,-0.8483669252650407,50
31,2.0,-73.93842,1.0,-0.29349376196389787,-0.1890263501778804,1.7974121913132024,165
32,14.0,-73.99883,0.0,-0.35327547447183977,-0.09969954843324484,0.5317080606158296,125
33,19.0,-73.98325,0.0,-0.29349376196389787,-0.1592507495963352,-0.8483669252650407,95
34,22.0,-73.96289,0.0,0.4238867881314047,-0.1592507495963352,-0.688247728008144,55
35,15.0,-73.96291,1.0,-0.29349376196389787,-0.1890263501778804,-0.7568702411182425,139
36,23.0,-73.99446,1.0,-0.233712049455956,-0.1890263501778804,-0.8483669252650407,150
37,50.0,-73.94889,0.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,45
38,33.0,-74.00108,1.0,3.114063850988789,-0.1890263501778804,-0.4061329518888501,99
39,12.0,-73.95828,0.0,-0.35327547447183977,-0.1592507495963352,-0.0020225969071588257,124
40,7.0,-73.99748,0.0,-0.1739303369480141,-0.12947514901479001,1.9346572175333996,180
41,4.0,-73.9415,1.0,-0.35327547447183977,-0.1592507495963352,0.3410899686433338,115
42,12.0,-73.95044,0.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,79
43,1.0,-73.97045,1.0,1.3803941882584747,1.3295292794809237,1.4161760073682106,95
44,7.0,-73.99254,1.0,-0.35327547447183977,-0.1890263501778804,-0.1621417941640554,320
45,14.0,-74.00157,1.0,4.967296938734988,1.716612087041011,1.9270324938544996,382
46,12.0,-73.94124,0.0,-0.1739303369480141,-0.1890263501778804,1.6144188230196064,110
47,1.0,-73.98211,1.0,-0.1739303369480141,-0.1890263501778804,-0.8483669252650407,380
48,23.0,-73.99251,1.0,-0.11414862444007223,-0.1890263501778804,-0.505254359714548,300
49,6.0,-73.95961,0.0,-0.35327547447183977,-0.1890263501778804,-0.8483669252650407,42
50,36.0,-73.99498,1.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,145
51,12.0,-73.96204,1.0,-0.35327547447183977,-0.12947514901479001,0.9739420339920202,200
52,15.0,-73.94282,1.0,-0.11414862444007223,-0.1890263501778804,-0.6958724516870439,95
53,21.0,-73.93042,1.0,-0.11414862444007223,-0.1592507495963352,1.2484320864324143,145
54,42.0,-74.01056,1.0,-0.29349376196389787,9.517819439405846,1.7516638492398033,412
55,28.0,-73.9501,1.0,-0.35327547447183977,-0.1890263501778804,-0.8483669252650407,120
56,12.0,-73.95748,1.0,-0.233712049455956,-0.1890263501778804,1.2255579153957148,105
57,29.0,-73.97159,0.0,0.0651965130837534,-0.1890263501778804,0.3410899686433338,90
58,6.0,-73.95018,0.0,1.3803941882584747,-0.09969954843324484,1.9346572175333996,65
